# Hot-op profiling — tier-0 interpreter, frozen benchmark workloads
# instruction cap per workload = 20,000,000

## 6502 — W1 Klaus   (20,000,000 instructions profiled)
   1. BNE           3,230,174   16.15%   (cum  16.15%)
   2. PHP           3,229,195   16.15%   (cum  32.30%)
   3. CMP           3,131,952   15.66%   (cum  47.96%)
   4. LDA           2,007,895   10.04%   (cum  58.00%)
   5. PLA           1,741,406    8.71%   (cum  66.70%)
   6. AND           1,712,082    8.56%   (cum  75.26%)
   7. PLP           1,615,112    8.08%   (cum  83.34%)
   8. ADC             782,678    3.91%   (cum  87.25%)
   9. SBC             782,551    3.91%   (cum  91.17%)
  10. STA             343,701    1.72%   (cum  92.88%)
  11. JSR             293,482    1.47%   (cum  94.35%)
  12. RTS             293,481    1.47%   (cum  95.82%)
  13. EOR             147,981    0.74%   (cum  96.56%)
  14. INC             147,344    0.74%   (cum  97.30%)
  15. PHA             127,335    0.64%   (cum  97.93%)
  distinct mnemonics executed: 56

## 6502 — W2 arithmetic-kernel   (20,000,000 instructions profiled)
   1. ADC           4,432,826   22.16%   (cum  22.16%)
   2. BNE           2,233,727   11.17%   (cum  33.33%)
   3. STA           2,216,481   11.08%   (cum  44.42%)
   4. CLC           2,216,413   11.08%   (cum  55.50%)
   5. SEC           2,216,413   11.08%   (cum  66.58%)
   6. SBC           2,216,413   11.08%   (cum  77.66%)
   7. EOR           2,216,413   11.08%   (cum  88.74%)
   8. DEY           2,216,412   11.08%   (cum  99.83%)
   9. LDY              17,316    0.09%   (cum  99.91%)
  10. INX              17,315    0.09%   (cum 100.00%)
  11. CLD                  68    0.00%   (cum 100.00%)
  12. LDA                  68    0.00%   (cum 100.00%)
  13. LDX                  68    0.00%   (cum 100.00%)
  14. JMP                  67    0.00%   (cum 100.00%)
  distinct mnemonics executed: 14

## 6502 — W3 sieve-kernel   (20,000,000 instructions profiled)
   1. LDA           5,099,932   25.50%   (cum  25.50%)
   2. STA           3,916,526   19.58%   (cum  45.08%)
   3. ADC           2,838,257   14.19%   (cum  59.27%)
   4. CLC           1,419,129    7.10%   (cum  66.37%)
   5. CMP           1,191,782    5.96%   (cum  72.33%)
   6. BCC           1,157,059    5.79%   (cum  78.11%)
   7. LDY           1,069,752    5.35%   (cum  83.46%)
   8. JMP           1,069,703    5.35%   (cum  88.81%)
   9. BNE             972,425    4.86%   (cum  93.67%)
  10. INC             467,348    2.34%   (cum  96.01%)
  11. INY             385,024    1.93%   (cum  97.93%)
  12. BEQ             376,742    1.88%   (cum  99.82%)
  13. BCS              34,723    0.17%   (cum  99.99%)
  14. DEX               1,504    0.01%   (cum 100.00%)
  15. CLD                  47    0.00%   (cum 100.00%)
  distinct mnemonics executed: 16

## Z80 — W1 ZEXDOC-prefix   (20,000,000 instructions profiled)
   1. LD            6,501,906   32.51%   (cum  32.51%)
   2. PUSH          2,137,550   10.69%   (cum  43.20%)
   3. POP           2,137,545   10.69%   (cum  53.89%)
   4. JP            1,675,399    8.38%   (cum  62.26%)
   5. DEC           1,019,417    5.10%   (cum  67.36%)
   6. INC           1,009,172    5.05%   (cum  72.40%)
   7. RRCA            998,537    4.99%   (cum  77.40%)
   8. XOR             915,350    4.58%   (cum  81.97%)
   9. CALL            712,512    3.56%   (cum  85.54%)
  10. RET             655,145    3.28%   (cum  88.81%)
  11. CP              640,031    3.20%   (cum  92.01%)
  12. ADD             546,109    2.73%   (cum  94.74%)
  13. AND             431,983    2.16%   (cum  96.90%)
  14. RLCA            416,386    2.08%   (cum  98.99%)
  15. EX              176,849    0.88%   (cum  99.87%)
  distinct mnemonics executed: 22

## Z80 — W2 arithmetic-kernel   (20,000,000 instructions profiled)
   1. ADD           3,981,338   19.91%   (cum  19.91%)
   2. SUB           3,981,337   19.91%   (cum  39.81%)
   3. INC           3,981,337   19.91%   (cum  59.72%)
   4. DEC           3,981,337   19.91%   (cum  79.63%)
   5. DJNZ          3,981,337   19.91%   (cum  99.53%)
   6. LD               62,210    0.31%   (cum  99.84%)
   7. JP               31,104    0.16%   (cum 100.00%)
  distinct mnemonics executed: 7

## Z80 — W3 sieve-kernel   (20,000,000 instructions profiled)
   1. LD            6,964,972   34.82%   (cum  34.82%)
   2. OR            2,523,979   12.62%   (cum  47.44%)
   3. JR            2,444,538   12.22%   (cum  59.67%)
   4. ADD           1,873,111    9.37%   (cum  69.03%)
   5. SBC           1,527,168    7.64%   (cum  76.67%)
   6. INC           1,112,124    5.56%   (cum  82.23%)
   7. PUSH          1,030,070    5.15%   (cum  87.38%)
   8. POP           1,030,070    5.15%   (cum  92.53%)
   9. JP              994,256    4.97%   (cum  97.50%)
  10. DEC             499,712    2.50%   (cum 100.00%)
  distinct mnemonics executed: 10

## 68000 — W1 mixed-kernel   (20,000,000 instructions profiled)
   1. MOVE          2,225,109   11.13%   (cum  11.13%)
   2. Bcc           2,225,108   11.13%   (cum  22.25%)
   3. ADDI          2,220,779   11.10%   (cum  33.35%)
   4. LSLR_REG      2,220,779   11.10%   (cum  44.46%)
   5. ADD           2,220,779   11.10%   (cum  55.56%)
   6. ADDQ          2,220,779   11.10%   (cum  66.67%)
   7. RTS           2,220,779   11.10%   (cum  77.77%)
   8. EORI          2,220,779   11.10%   (cum  88.87%)
   9. DBcc          2,220,779   11.10%   (cum  99.98%)
  10. MOVEQ             4,330    0.02%   (cum 100.00%)
  distinct mnemonics executed: 10

## 68000 — W2 arithmetic-kernel   (20,000,000 instructions profiled)
   1. SUBQ          7,981,294   39.91%   (cum  39.91%)
   2. Bcc           4,006,234   20.03%   (cum  59.94%)
   3. ADDQ          3,990,647   19.95%   (cum  79.89%)
   4. EORI          3,990,647   19.95%   (cum  99.84%)
   5. MOVEQ            15,589    0.08%   (cum  99.92%)
   6. MOVE             15,589    0.08%   (cum 100.00%)
  distinct mnemonics executed: 6

## 68000 — W3 sieve-kernel   (20,000,000 instructions profiled)
   1. Bcc           6,544,396   32.72%   (cum  32.72%)
   2. CMPI          3,400,377   17.00%   (cum  49.72%)
   3. MOVE          2,732,980   13.66%   (cum  63.39%)
   4. ADD           2,550,856   12.75%   (cum  76.14%)
   5. CLR           2,037,869   10.19%   (cum  86.33%)
   6. ADDQ          1,619,002    8.10%   (cum  94.43%)
   7. DBcc          1,113,840    5.57%   (cum 100.00%)
   8. MOVEQ               408    0.00%   (cum 100.00%)
   9. LEA                 272    0.00%   (cum 100.00%)
  distinct mnemonics executed: 9

## 8086 — W1 mixed-kernel   (20,000,000 instructions profiled)
   1. ADD           3,000,000   15.00%   (cum  15.00%)
   2. INC           3,000,000   15.00%   (cum  30.00%)
   3. DEC           3,000,000   15.00%   (cum  45.00%)
   4. MOV           1,500,000    7.50%   (cum  52.50%)
   5. SUB           1,500,000    7.50%   (cum  60.00%)
   6. PUSH          1,500,000    7.50%   (cum  67.50%)
   7. POP           1,500,000    7.50%   (cum  75.00%)
   8. CALL          1,500,000    7.50%   (cum  82.50%)
   9. RET           1,500,000    7.50%   (cum  90.00%)
  10. JNE           1,500,000    7.50%   (cum  97.50%)
  11. JMP             500,000    2.50%   (cum 100.00%)
  distinct mnemonics executed: 11

## 8086 — W2 arith-kernel   (20,000,000 instructions profiled)
   1. ADD           4,985,394   24.93%   (cum  24.93%)
   2. SUB           4,985,394   24.93%   (cum  49.85%)
   3. DEC           4,985,394   24.93%   (cum  74.78%)
   4. JNE           4,985,394   24.93%   (cum  99.71%)
   5. MOV              38,950    0.19%   (cum  99.90%)
   6. JMP              19,474    0.10%   (cum 100.00%)
  distinct mnemonics executed: 6

## 8086 — W3 sieve-kernel   (20,000,000 instructions profiled)
   1. INC           6,399,000   32.00%   (cum  32.00%)
   2. MOV           3,601,783   18.01%   (cum  50.00%)
   3. DEC           3,399,468   17.00%   (cum  67.00%)
   4. JNE           3,399,468   17.00%   (cum  84.00%)
   5. ADD           3,199,500   16.00%   (cum 100.00%)
   6. JMP                 781    0.00%   (cum 100.00%)
  distinct mnemonics executed: 6

